A,เกษตร,Agriculture,B
B,ประมง,Fisheries,B
C,วนศาสตร์,Forestry,B
D,วิทยาศาสตร์,Science,B
E,วิศวกรรมศาสตร์,Engineering,B
F,ศึกษาศาสตร์,Education,B
G,เศรษฐศาสตร์,Economics,B
H,สังคมศาสตร์,Social Sciences,B
I,สัตวแพทยศาสตร์,Veterinary Medicine,B
J,สำนักส่งเสริมและฝึกอบรม,Extension and Training Office,B
K,อุตสาหกรรมเกษตร,Agro-Industry,B
X,บัณฑิตวิทยาลัย,Graduate School,B
Z,ข้ามมหาวิทยาลัย,Across University,B
L,มนุษยศาสตร์,Humanities,B
N,บริหารธุรกิจ,Business Administration,B
P,เทคนิคการสัตวแพทย์,Veterinary Technology,B
M,วิทยาลัยการชลประทาน,Irrigation Academic,B
U,ม.เกษตรศาสตร์,Kasetsart University,B
R,สถาปัตยกรรมศาสตร์,Architecture,B
Y,โครงการสหวิทยาการ,Interdisciplinary Graduate Studies,B
W,วิทยาลัยพยาบาลบรมราชชนนีนพรัตน์วชิระ,Boromarajonani Nursing College,B
O,วิทยาลัยสิ่งแวดล้อม,Environment College,B
Q,ศิลปศาสตร์และวิทยาศาสตร์,Liberal Arts and Science,B
T,สิ่งแวดล้อม,Environment,B
